2018-11-25 23:49:09,"b""RT @carbar9: Come on ya boyo!!\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 she's a gas ticket! #latelate #latelatetoyshow https://t.co/h0vlW0bpKc""",Twitter for Android,
2018-11-25 23:19:54,b'So looking forward to watching this on Friday and having our traditional Toy Show Party \xf0\x9f\x8e\x89\xf0\x9f\x98\x80\n\nThe Late Late Toy Show\xe2\x80\xa6 https://t.co/fkbbSTRo0w',Twitter for iPhone,
2018-11-25 23:08:02,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Tweetbot for Mac,
2018-11-25 22:54:00,b'Who else is excited?! #LateLateToyShow https://t.co/2966LSyoLc',Sprout Social,
2018-11-25 21:11:51,b'5 sleeps till the late late toy show.  I would love to @RTEOne @RyanTubridyShow @RyanTubridyShow #rte\xe2\x80\xa6 https://t.co/vkuiuGyps2',Twitter for Android,
2018-11-25 19:57:00,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPad,
2018-11-25 18:46:22,b'You know its bad when your mother tells you to try and come home earlier from college next weekend because she want\xe2\x80\xa6 https://t.co/v9uleZoZn6',Twitter Lite,
2018-11-25 09:16:45,"b'RT @EcoStraws: - 6 days until #LateLateToyShow \xf0\x9f\x98\x8d\xc2\xa0Do you have all you need for the coziest night of the year? \n\xe2\x9c\x94\xef\xb8\x8f Fluffy Pyjamas,\n\xe2\x9c\x94\xef\xb8\x8f Christm\xe2\x80\xa6'",Twitter for iPhone,
2018-11-25 01:03:00,b'We are so looking forward to watching this next Friday and having a Toy Show Party \xf0\x9f\x8e\x89 \n\n@RTEOne @RTELateLateShow\xe2\x80\xa6 https://t.co/fXrL7pdz8i',Twitter for iPhone,Galway
2018-11-24 22:54:00,b'Who else is excited?! #LateLateToyShow https://t.co/2966LSyoLc',Sprout Social,
2018-11-24 22:03:08,"b""This is like the #LateLateToyShow by Pound City isn't it? #RayDarcyShow""",Twitter Web Client,
2018-11-24 21:56:15,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-24 20:51:45,b'6 sleeps till the late late toy show.  I would love to @RTEOne @RyanTubridyShow @RTELateLateShow #rte\xe2\x80\xa6 https://t.co/SAvVev4bTK',Twitter for Android,
2018-11-24 20:26:45,"b'RT @EcoStraws: - 6 days until #LateLateToyShow \xf0\x9f\x98\x8d\xc2\xa0Do you have all you need for the coziest night of the year? \n\xe2\x9c\x94\xef\xb8\x8f Fluffy Pyjamas,\n\xe2\x9c\x94\xef\xb8\x8f Christm\xe2\x80\xa6'",Twitter for Android,
2018-11-24 19:20:11,"b'Drogheda gets a nod on the #latelatetoyshow add. First the fleadh, now this. #madeit. https://t.co/nzGZJYW4Pq'",Twitter for Android,
2018-11-24 17:40:13,"b'@bernie129 \xf0\x9f\x98\x82 There\xe2\x80\x99s gonna be a dress code for tweeters on #LateLateToyShow TL, so don\xe2\x80\x99t forget your Santy jumper o\xe2\x80\xa6 https://t.co/WXEwzEEtyF'",Twitter for iPad,
2018-11-24 17:30:41,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for Android,
2018-11-24 17:27:19,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-24 16:52:39,"b""Come on ya boyo!!\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 she's a gas ticket! #latelate #latelatetoyshow https://t.co/h0vlW0bpKc""",Twitter for Android,
2018-11-24 16:22:08,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for Android,
2018-11-24 14:04:27,"b'- 6 days until #LateLateToyShow \xf0\x9f\x98\x8d\xc2\xa0Do you have all you need for the coziest night of the year? \n\xe2\x9c\x94\xef\xb8\x8f Fluffy Pyjamas,\xe2\x80\xa6 https://t.co/9VpThsuSXx'",Twitter Web Client,
2018-11-24 10:45:09,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for Android,
2018-11-24 10:08:04,"b""@DanODonoghue2 He wasn't as smart with the lad from boyszone #petercasey #boyzone #LateLateToyShow""",Twitter for Android,
2018-11-24 09:57:13,"b""This Leitrim girl's reaction to finding out she is going to be on the Late Late Toy Show sums up exactly how we all\xe2\x80\xa6 https://t.co/50l66GrLUh""",Twitter Web Client,
2018-11-24 09:45:49,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-24 08:49:09,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-24 00:54:02,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for Android,
2018-11-24 00:51:18,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-24 00:18:32,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-24 00:00:34,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-23 23:53:44,b'@molltrot Are we dressing up? I have a #LateLateToyShow mug this year (\xe2\x80\x98twas reduced in Pennys after last year\xe2\x80\x99s sh\xe2\x80\xa6 https://t.co/TCDmqyx05V',Twitter for iPad,
2018-11-23 23:45:12,"b""The fock? That's \xe2\x82\xac2 wasted cos of Imelda? Not on. Dear @VodafoneIreland will you sort me out with a refund?\xe2\x80\xa6 https://t.co/be66gJ21ER""",Twitter Web Client,
2018-11-23 23:35:18,"b""I'm going to cry my eyes out when i don't win these are late late toy show #LateLateToyShow""",Twitter for Android,
2018-11-23 23:33:56,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for Android,
2018-11-23 23:32:39,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for Android,
2018-11-23 23:28:50,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-23 23:18:22,"b""RT @AllPassingThing: Ireland's nosedive in the world rankings started with rainbow jerseys against the USA\n\nDid Ireland's LGBT community de\xe2\x80\xa6""",Twitter for Android,
2018-11-23 23:06:39,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-23 23:04:07,b'Look if Lauryn Hill is gonna be late next Friday they might aswell screen the #latelatetoyshow in 3 Arena.',Twitter for Android,
2018-11-23 23:04:07,b'@NiniWardy I just saw Kate Olohan\xe2\x80\x99s lovely face on an ad for the #LateLateToyShow unwrapped later this week!',Twitter for iPhone,
2018-11-23 23:03:41,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter for Android,
2018-11-23 22:58:14,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-23 22:54:00,b'Who else is excited?! #LateLateToyShow https://t.co/2966LSyoLc',Sprout Social,
2018-11-23 22:42:03,"b""RT @RTEOne: Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made it onto the\xe2\x80\xa6""",Twitter for iPhone,
2018-11-23 22:41:40,"b""Stella McGirl will be joining Ryan on next week's #LateLateToyShow\xf0\x9f\x8e\x84 Here's her reaction when she found out she made\xe2\x80\xa6 https://t.co/xICx02ART0""",SnappyTV.com,
2018-11-23 22:38:38,"b""@Nell496 I'll be the one @ RTE Studios next Friday night trying to flog the tickets to get that \xe2\x82\xac2 back!\xe2\x80\xa6 https://t.co/2ISTVhCQAu""",Twitter Web Client,
2018-11-23 22:35:37,b'The Toy show used to be about toys.\n\nNow its just performing kids of pushy parents wanting a few mins on tv with a\xe2\x80\xa6 https://t.co/Zbz9pgZvfJ',Twitter Web Client,
2018-11-23 22:35:14,b'Gotta hand it to Ryan.... He has everyone wanting more already... Stella... \xe2\x80\x9ccome on ya boy ya\xe2\x80\x9d!! \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #thelatelateshow #LateLateToyShow',Twitter for iPhone,
2018-11-23 22:35:10,b'That #LateLateToyShow just cost me \xe2\x82\xac2. Better win now! #LateLate #LateLateShow',Twitter Web Client,
2018-11-23 22:31:42,"b""Ireland's nosedive in the world rankings started with rainbow jerseys against the USA\n\nDid Ireland's LGBT community\xe2\x80\xa6 https://t.co/WIALSk2Sz3""",Twitter Lite,
2018-11-23 22:30:28,b'We are on countdown to the best night on TV...also known as the night my daughter changes her mind on all the thing\xe2\x80\xa6 https://t.co/Tf3KBdHyO3',Twitter for iPhone,
2018-11-23 22:29:45,b'This day next week it\xe2\x80\x99s #LateLateToyShow day \xf0\x9f\x98\x80\xf0\x9f\x98\x80',Twitter for iPhone,
2018-11-23 21:57:02,b'@rte @RTEOne Why not give the prize to the amazing woman caring for her son and forget the  competition for once.\xe2\x80\xa6 https://t.co/bl79xzgZ4l',Twitter for Android,
2018-11-23 21:52:27,b'#LateLateToyShow give the 2 tickets and the 10k prize to the great woman caring for her son. Forget the competition for once Tubridy',Twitter for Android,
2018-11-23 21:49:46,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter Web Client,
2018-11-23 21:47:59,"b""If you enter tonights #LateLateToyShow competition don't be that person who's no interest. We've had that one alrea\xe2\x80\xa6 https://t.co/hvQms9j1ci""",Twitter Web Client,
2018-11-23 21:46:24,b'One week...one week \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c till the late late toy show.  I would love to @RTEOne @RyanTubridyShow @RTELateLateShow\xe2\x80\xa6 https://t.co/8PldB4QkGE',Twitter for Android,
2018-11-23 20:00:53,b'Elf Ryan on the Shelf\xf0\x9f\x8e\x84\xe2\x9b\x84\xf0\x9f\x8e\x85\xe2\x9d\x97#ToyShowTreats #LateLateToyShow #RyanTubridy #elfontheshelf #christmas https://t.co/wQNqaDBqpo',Twitter Lite,
2018-11-23 18:25:38,b'6yo Daire has predicted that #GreatestShowman \xe2\x80\x98This is the Greatest (Toy) Show\xe2\x80\x99 will be the #openingact of the\xe2\x80\xa6 https://t.co/wEsvluYuMJ',Twitter for iPhone,
2018-11-23 17:30:00,b'no tweeting for #wopw or #impactuk next week! The #latelatetoyshow is only 7 nights away!',Mobile Web (M2),
2018-11-23 17:01:18,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter for Android,
2018-11-23 15:56:33,b'@LovinDublin We hope @RyanTubridyShow and @RTELateLateShow read your feature @LovinDublin #LateLateToyShow #STEM #educationaltoys',Twitter Web Client,
2018-11-23 15:13:08,b'@lirchocolates Maybe for #LateLateToyShow',Twitter for iPad,
2018-11-23 14:18:46,"b'@rte @RTEOne Entered, it would be an amazing experience. #LateLateToyShow #loveRyan'",Twitter for iPhone,
2018-11-23 13:23:49,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter for Android,
2018-11-23 13:19:43,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter Web Client,
2018-11-23 09:54:00,b'Who else is excited?! #LateLateToyShow https://t.co/2966LSyoLc',Sprout Social,
2018-11-23 08:35:07,"b'@RTEOne Cake is still hanging in there, and it\xe2\x80\x99s definitely not edible now...\xf0\x9f\x98\x82\nCan you spot it in the photo? \nWhat\xe2\x80\xa6 https://t.co/kB5PmGNd4a'",Twitter for iPhone,
2018-11-23 08:30:07,b'RT @tripquips: Only one week to go! \xf0\x9f\x98\x81 #ToyShowTreats #chocolateryan #cake #latelatetoyshow #ryantubridy @rte @RTELateLateShow https://t.co/\xe2\x80\xa6',Twitter for iPhone,
2018-11-23 06:53:44,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter for Android,
2018-11-23 06:18:08,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter for iPad,
2018-11-23 03:49:44,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter for Android,
2018-11-23 02:48:21,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter for iPad,
2018-11-23 02:00:06,"b""RT @seaniebee: Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers of #book\xe2\x80\xa6""",Twitter Web Client,
2018-11-23 01:15:33,"b""Chat with leading children's book #author Kes Gray (OiFrog! Daisy books) - Essential listening for budding #writers\xe2\x80\xa6 https://t.co/YIWT9rjfJR""",Twitter Web Client,
2018-11-22 23:54:27,b'Only one week to go! \xf0\x9f\x98\x81 #ToyShowTreats #chocolateryan #cake #latelatetoyshow #ryantubridy @rte @RTELateLateShow https://t.co/hdXDabDnFV',Twitter for Android,
2018-11-22 20:43:30,b'8 sleeps till the late late toy show.  I would love to @RyanTubridyShow @RTEOne @RTELateLateShow #rte\xe2\x80\xa6 https://t.co/Cus1914yQI',Twitter for Android,
2018-11-22 17:19:13,b'With hopefully better servers and less buffering for those using it perhaps? Thinking of #LateLateShow #LateLate\xe2\x80\xa6 https://t.co/H3G4HQmdsV',Twitter Web Client,
2018-11-22 17:10:38,b'RT @FionnualaMoran: Caught up Tubs last night as he turned on the Christmas lights in @theshelbourne. \nLooking forward to the #LateLateToyS\xe2\x80\xa6',Twitter for Android,
2018-11-22 16:58:27,"b""RT @JamieMadeTV: It's that time of the year for the traditional trying-to-explain-the-late-late-toy-show-to-Brits. \n\nIt never goes well. Wh\xe2\x80\xa6""",Twitter Web Client,
2018-11-22 16:39:21,b'Following up on a true icon of our times. #JohnJoe #LateLate #LateLateToyShow https://t.co/UBmTQ7Ifxz',TweetDeck,
2018-11-22 14:57:00,b'Who else is excited?! #LateLateToyShow https://t.co/2966LSyoLc',Sprout Social,
